,,,,"Mar-2024-HAKIM MOMIN-PAKUR-BGR MINING & INFRA LTD",,,,,,
"Sl. No.","Vehicle No.",Trips,MT,"Feright/MT ()","HSD Ltr Issues","HSD Price/Ltr ()",Total,"Acc Add Diff ()","Tanker Fare ()","Payable Amt"
1,"JH16G2192<br/> ( TATA SIGNA )",8,240.36,0,753,0,0,0,0,0
2,"JH16F2194<br/> ( TATA SIGNA )",8,245.58,0,843,0,0,0,0,0
3,"JH16F4536<br/> ( TATA SIGNA )",12,370.58,0,873,0,0,0,0,0
4,"JH16F6025<br/> ( TATA SIGNA )",5,149.8,0,980,0,0,0,0,0
5,"JH16G5183<br/> ( TATA SIGNA )",4,121.96,0,742,0,0,0,0,0
6,"JH16G6220<br/> ( TATA SIGNA )",10,313.56,0,848,0,0,0,0,0
7,"JH16G7213<br/> ( TATA SIGNA )",1,31.6,0,370,0,0,0,0,0
8,"JH16G5832<br/> ( TATA SIGNA )",7,213.82,0,907,0,0,0,0,0
9,"JH16F3425<br/> ( TATA SIGNA )",7,213.28,0,991,0,0,0,0,0
10,"JH16G1581<br/> ( TATA SIGNA )",7,212.42,0,701,0,0,0,0,0
11,"JH16G1844<br/> ( TATA SIGNA )",8,239.54,0,822,0,0,0,0,0
12,"JH16G2631<br/> ( TATA SIGNA )",8,247.58,0,694,0,0,0,0,0
13,"JH16G2965<br/> ( TATA SIGNA )",3,96.48,0,753,0,0,0,0,0
14,"JH16G4003<br/> ( TATA SIGNA )",3,95.84,0,878,0,0,0,0,0
15,"JH16G7244<br/> ( TATA SIGNA )",2,58.36,0,572,0,0,0,0,0
16,"JH16H5580<br/> ( TATA SIGNA )",6,191.62,0,847,0,0,0,0,0
17,"JH16G3390<br/> ( TATA SIGNA )",8,247.78,0,1159,0,0,0,0,0
18,"JH16H3226<br/> ( TATA SIGNA )",4,122.12,0,1004,0,0,0,0,0
19,JH16H0045,7,220.48,0,719,0,0,0,0,0
20,"JH16H2054<br/> ( TATA SIGNA )",7,221.3,0,1130,0,0,0,0,0
21,"JH16G8125<br/> ( TATA SIGNA )",5,155.04,0,1110,0,0,0,0,0
22,"JH16F3954<br/> ( TATA SIGNA )",5,151.84,0,1337,0,0,0,0,0
23,"JH16G2344<br/> ( TATA SIGNA )",7,200.04,0,753,0,0,0,0,0
24,"JH16H6041<br/> ( TATA SIGNA )",9,265.4,0,804,0,0,0,0,0
25,"JH16H1810<br/> ( TATA SIGNA )",4,118.42,0,921,0,0,0,0,0
26,"JH16H2244<br/> ( TATA SIGNA )",10,313.68,0,723,0,0,0,0,0
27,"JH16H3439<br/> ( TATA SIGNA )",9,277.54,0,872,0,0,0,0,0
